Ticker	Revenue T12M	EBITDA T12M	Gross Profit T12M	EV/Sales T12M	C&CE LF	LT Brrwng LF	T12M R&D/Sales	T12M SG&A Exp	Revenue Growth YoY
QTT US Equity	1947372816	 	1602229952	3.301	2325124864	0	0.029624	3070837472	792.17%
MOMO US Equity	1670208000	504594008	812700992	3.3714	306255008	300000000	0.03906	284988000	138.34%
SPLK US Equity	1600648032	-252362000	1275502016	9.5748	1868115968	1614945024	0.236951	1173931984	33.77%
XELAU US Equity	1572868032	119324000	379285000	1.2288	40692000	1330829056	0	185559000	45.88%
JCOM US Equity	1177616000	410108000	986531024	3.6897	303524000	1010566016	0.041154	673434992	27.86%
LOGM US Equity	1169829984	367185000	905778992	4.0613	167626000	200000000	0.158348	522839992	194.52%
DBX US Equity	1106800000	68100000	737900032	8.9245	430000000	71600000	0.343603	471300000	31.01%
ULTI US Equity	1087175008	121315000	676962992	7.4726	132723000	5954000	0.160071	408207000	20.41%
TEAM US Equity	947424016	44655000	769639024	20.541	1517779968	827969984	0.475743	355960000	40.97%
VEEV US Equity	814806016	208888000	575134000	15.7634	467643008	0	0.192615	227283000	26.01%
TIVO US Equity	741641984	161007000	546699008	2.4738	149655008	982801024	0.235199	179058000	27.32%
SWI US Equity	728017024	320529984	496286016	9.4999	277716000	2245622016	0.118978	272934016	55.09%
PFPT US Equity	663913008	-29704000	474649000	7.6984	160560992	30000	0.251903	398890000	37.23%
GWRE US Equity	661067000	28281000	364360000	10.2387	437140000	305128000	0.259667	200033000	28.54%
DOCU US Equity	602315000	 	444969000	10.4223	818795008	0	0.178259	618258984	35.93%
JG US Equity	600358000	 	167563000	7.4097	681478976	214216992	0.251664	135475000	304.86%
BOX US Equity	581348016	-99491000	419675000	4.7303	200104000	73965000	0.270262	407914000	26.98%
ZEN US Equity	549927000	-95075000	384761000	10.915	157158000	452075008	0.267812	367525584	37.98%
EVH US Equity	547688008	-11362000	250202000	3.6946	221836992	122082000	0.039545	213591000	71.11%
PAYC US Equity	530029000	176143000	444188000	14.5877	85048000	33049000	0.07027	240131000	31.57%
GSUM US Equity	526411992	-68774000	447632000	2.0068	258019008	0	0.385353	318384000	70.44%
PVTL US Equity	509436000	-146059008	281041984	8.9069	73012000	0	0.315932	288391008	22.38%
KEYW US Equity	507450000	38694000	129637000	1.4817	30667000	273648992	0	 	53.31%
LAIX US Equity	488815992	 	267220000	5.3632	378372000	0	0.321099	519109008	1242.51%
HUBS US Equity	475499000	-28657000	381450000	10.95	96122000	313550016	0.187356	323425000	38.62%
EBIX US Equity	466180000	155194000	301629000	4.3308	134987008	629676032	0.093013	109769000	22.02%
NEWR US Equity	413392000	9488000	345841000	11.2022	196796992	395824000	0.209352	285581000	34.76%
CLDR US Equity	411064000	-176363000	279628000	3.5378	52970000	0	0.587016	305683000	40.77%
IDEX US Equity	400251024	-23764750	4112078	0.4612	16030248	10734949	0.002819	21889167	310.22%
PCTY US Equity	396531000	50971000	246351000	8.7177	63662000	0	0.099715	186991000	25.84%
IMPV US Equity	351758000	512000	279642000	4.689	155932000	0	0.19723	211604644	21.65%
GLUU US Equity	351133000	-31221000	191413000	2.7929	80781000	0	0.322215	143741000	43.00%
ARCE US Equity	329838000	 	254950000	11.3483	849454976	49586000	0	223506000	53.44%
HDP US Equity	327584000	-150848000	236188000	3.8308	55322000	0	0.386135	301893000	41.93%
GSKY US Equity	325887008	150268992	236179008	5.5663	224614000	0	0	17074000	23.51%
