Company,Type,EV/Rev,Rev Growth,GP Margin,R&D Margin,S&M Margin,EBITDA Margin,Profit Margin
RED HAT INC,Systems Software,6.073912869,0.140213148,0.852368067,0.183213705,0.379706309,0.190929634,0.132111634
SS&C TECHNOLOGIES HOLDINGS,Application Software,8.405979502,1.003082767,0.412073985,0.070519628,0.054475716,0.344201587,0.119943849
CA INC,Systems Software,4.281917358,0.033148505,0.854869817,0.154773385,0.255785921,0.347155256,0.189981949
ATLASSIAN CORP PLC-CLASS A,Application Software,16.24458722,0.324274031,0.812349078,0.438848921,0.198422248,0.045932972,-0.318113105
SYMANTEC CORP,Systems Software,3.030476797,-0.011800704,0.787859954,0.198259789,0.330018645,0.264346385,0.085428484
CITRIX SYSTEMS INC,Application Software,4.962646927,0.028465389,0.847022308,0.142968547,0.345940415,0.306660606,0.203086592
CONSTELLATION SOFTWARE INC,Application Software,5.040378277,0.164257841,0.880066133,0.12216789,0.064733952,0.253075757,0.103232903
SYNOPSYS INC,Application Software,4.385154998,0.071619985,0.764383236,0.300679874,0.181712554,0.215145139,0.121526059
CHECK POINT SOFTWARE TECH,Systems Software,6.848682158,0.033457798,0.895454074,0.101419823,0.228489025,0.500626012,0.433661464
SPLUNK INC,Application Software,8.822882751,0.288999377,0.792802401,0.207905999,0.55817645,-0.177659879,-0.220927386
CADENCE DESIGN SYS INC,Application Software,6.17114403,0.063581034,0.88264761,0.388533422,0.202503606,0.250359197,0.167929608
FORTINET INC,Systems Software,7.57903095,0.170748873,0.749036421,0.129117176,0.429764864,0.13105687,0.083799201
SHOP US EQUITY,Internet Services & Infrastruc,13.78150188,0.418614459,0.564648835,0.159326736,0.264410894,-0.048478572,-0.061180473
VEEV US EQUITY,Health Care Technology,14.99891246,0.190345121,0.697852072,0.172339942,0.17083516,0.245623995,0.212543603
TTWO US Equity,Interactive Home Entertainment,6.416587222,0.703601606,0.526222892,0.111407318,0.145287401,0.162910786,0.109413698
OPEN TEXT CORP,Application Software,3.962364501,0.028701273,0.662049895,0.11489638,0.188041095,0.352205371,0.099335983
UBI FP Equity,Interactive Home Entertainment,5.492856902,0.30537113,0.828615372,0.398754196,0.19589767,0.46475073,0.101452416
PTC INC,Application Software,8.607293699,0.075705501,0.732172417,0.191035241,0.301813653,0.138202112,0.039551652
