Company,EV,TTTMRev,TTMRev,NTMRev,EV/TTM,EV/NTM,TTMRevGr,NTMRevGr,GP,GP%,EBITDA,EBITDA%,Cash,NI,NI%
PRSM LN Equity,1375.1851,9.644,50.94483046,68.814,26.99361422,19.98408899,4.282541524,0.350755305,50.92743537,0.99965855,-15.660511,-0.307401376,16.331,-16.3777046,-0.321479225
OKTA US EQUITY,5590.6316,85.907,324.195,424.094,17.24465707,13.18252934,2.773790262,0.308144789,228.2500021,0.70405158,-116.569,-0.35956446,127.949,-123.625,-0.381329138
LOGM US Equity,4064.2968,336.068,1130.17,1221.889,3.596181813,3.3262406,2.362920599,0.081155047,883.3670031,0.781623121,389.655,0.344775565,252.402,85.24747226,0.075428893
AVV LN Equity,5116.1342,201.491,662.1627529,964.041,7.726399858,5.306967442,2.286314291,0.455897354,462.0736394,0.697824874,163.3098104,0.246630922,105.649,77.68393733,0.117318495
MDB US Equity,3220.281,65.271,192.241,271.538,16.75127054,11.85941194,1.945274318,0.412487451,138.5259988,0.720585093,-107.693,-0.560197877,61.902,-111,-0.577400242
SMAR US Equity,2499.6136,40.751,111.253,195.833,22.46783098,12.76400607,1.730067974,0.760249162,89.571,0.805110873,-44.902,-0.403602599,58.158,-49.106,-0.441390345
COUP US Equity,3256.0627,83.678,219.095,265.793,14.86141948,12.2503704,1.618310667,0.213140419,150.8690017,0.688600843,-34.963,-0.159579178,412.903,-49.333,-0.225167165
CLDR US Equity,1642.0149,166.048,411.064,487.033,3.994548051,3.371465383,1.475573328,0.184810638,279.6280047,0.680254181,-176.494,-0.429358932,43.247,-184.54895,-0.448954299
DOCU US EQUITY,6010.1651,250.481,602.315,762.5,9.978441679,7.882183738,1.404633485,0.265948881,444.9690031,0.738764605,-19.93,-0.033088998,256.867,-328.258,-0.544993899
ZS US Equity,3799.4987,80.325,190.174,258.79,19.97906496,14.6817833,1.3675568,0.360806419,152.2989995,0.80084028,-13.46,-0.070777288,135.579,-29.383,-0.154505874
NTNX US Equity,6236.2366,503.41,1155.457,1366.167,5.397203531,4.564768875,1.295260325,0.182360746,769.4270002,0.665907083,-222.0058608,-0.192136843,305.975,-290.7982245,-0.251673775
YEXT US Equity,1797.1029,89.724,198.543,249.187,9.051454345,7.211864584,1.212819313,0.255078245,147.7909982,0.744377783,-68.009,-0.342540407,34.367,-73.292,-0.369149252
SHOP US EQUITY,11763.5179,389.33,853.573,1210.891,13.78150188,9.714762022,1.192415175,0.418614459,481.9689999,0.564648835,-41.38,-0.048478572,141.677,-52.222,-0.061180473
SPLK US Equity,12778.3399,668.435,1448.318,1866.881,8.822882751,6.844753308,1.166729749,0.288999377,1148.229988,0.792802401,-257.308,-0.177659879,545.947,-319.97311,-0.220927386
GBG LN Equity,988.6848,73.401,158.8109066,172.514,6.225547233,5.731040959,1.163606852,0.086285594,122.8674396,0.773671294,34.72554066,0.218659672,22.753,16.47865812,0.103762761
FDEV LN Equity,498.007,21.366,45.91377685,104.675,10.84657012,4.757649869,1.14891776,1.279816804,32.36201487,0.704843232,12.96360557,0.282346748,24.124,5.138268885,0.111911266
NEWR US Equity,4436.8192,181.309,383.181,489.975,11.57891232,9.055195061,1.113414116,0.278703798,318.382998,0.830894533,-2.259,-0.005895386,132.479,-33.4052,-0.087178644
WDAY US Equity,25456.8783,1156.69,2428.232,3119.846,10.48370926,8.159658618,1.099293674,0.284822043,1715.524027,0.706490989,-107.837,-0.044409677,1134.355,-334.8606536,-0.137903073
TEAM US Equity,15390.5118,457.058,947.424,1254.649,16.24458722,12.26678681,1.072874777,0.324274031,769.6390129,0.812349078,43.518,0.045932972,1410.339,-301.38799,-0.318113105
