Ticker,TTMRev,NTMRev,EV/TTM,TTMRevGr,NTMRevGr,GP%,R&D%,S&M%,G&A%,EBITDA%,Profit%
SMAR US Equity,111.253,195.833,22.46783098,1.730067974,0.760249162,0.805110873,0.337878529,0.655487942,0.251984216,-0.403602599,-0.441390345
PS US Equity,166.824,257.7,22.13658406,0.265342344,0.544741764,0.70131396,0.195595358,0.620282453,0.281560207,-0.396124059,-0.571224045
ZS US Equity,190.174,258.79,19.97906496,1.3675568,0.360806419,0.80084028,0.207068264,0.612118376,0.163718489,-0.070777288,-0.154505874
OKTA US EQUITY,324.195,424.094,17.24465707,2.773790262,0.308144789,0.70405158,0.218451858,0.533546168,0.159789633,-0.35956446,-0.381329138
MDB US Equity,192.241,271.538,16.75127054,1.945274318,0.412487451,0.720585093,0.323562612,0.571938348,0.191296342,-0.560197877,-0.577400242
TEAM US Equity,947.424,1254.649,16.24458722,1.072874777,0.324274031,0.812349078,0.438848921,0.198422248,0.159634968,0.045932972,-0.318113105
VEEV US EQUITY,766.224,912.071,14.99891246,0.872396578,0.190345121,0.697852072,0.172339942,0.17083516,0.078816377,0.245623995,0.212543603
PAYC US Equity,498.028,621.76,14.87319187,0.51311444,0.248443863,0.836270259,0.061100982,0.30221594,0.184019774,0.2974391,0.209953657
COUP US Equity,219.095,265.793,14.86141948,1.618310667,0.213140419,0.688600843,0.203272553,0.404947625,0.17607887,-0.159579178,-0.225167165
AYX US Equity,162.36,224.288,14.55480168,0.892528267,0.381423996,0.864769664,0.180721853,0.409090909,0.198577236,-0.08343188,-0.121129527
SHOP US EQUITY,853.573,1210.891,13.78150188,1.192415175,0.418614459,0.564648835,0.159326736,0.264410894,0.079335921,-0.048478572,-0.061180473
SSTI US Equity,29.199,39.659,13.29596562,0.882956084,0.358231446,0.545703612,0.142436385,0.211616836,0.191616151,0.031302442,-0.157129011
NOW US Equity,2264.818,2957.73,13.27660805,0.628764348,0.305945997,0.753499847,0.166688008,0.417966035,0.092958021,0.026210495,-0.039516806
ZUO US Equity,167.926,255.9,13.11747675,0.82163933,0.523885521,0.524159451,0.230095399,0.435233377,0.13441635,-0.236580399,-0.280808213
CRW LN Equity,67.067,79,13.07916859,0.345484091,0.177926551,0.949200055,0.196430435,0.12311569,0.130257802,0.311017341,0.235661354
TWLO US EQUITY,492.648,667.761,12.34100291,0.776364325,0.355452575,0.531515393,0.245081681,0.204342654,0.12101744,-0.13976901,-0.182874852
APPF US Equity,165.38,205.85,12.17994135,0.566306139,0.244709155,0.619476356,0.100241867,0.173594147,0.128183577,0.188348047,0.109271617
AVLR US Equity,213.159,282.81,11.85648084,0.273153513,0.326756083,0.728010546,0.193583194,0.627672301,0.160847067,-0.203148823,-0.259119014
EVBG US Equity,122.828,163.084,11.84840509,0.598365562,0.32774286,0.692236298,0.181074348,0.382632624,0.186398867,-0.200809262,-0.319052985
NEWR US Equity,383.181,489.975,11.57891232,1.113414116,0.278703798,0.830894533,0.193986654,0.540269481,0.150811235,-0.005895386,-0.087178644
ZEN US Equity,507.885,667.969,11.05783691,0.627841756,0.315197338,0.700981532,0.227002176,0.434629887,0.160823809,-0.169418548,-0.227226636
