Company,EV/TTM,TTMRevGr,NTMRevGr,GP%,SM%,EBITDA%,NI%,Cash%
JG US Equity,17.74848458,-0.400207802,1.444344571,0.250568124,0.209592953,-0.293548852,-0.317134337,4.935229345
SSNC US Equity,8.405979502,0.467727934,1.003082767,0.412073985,0.054475716,0.344201587,0.119943849,0.029460366
SMAR US Equity,22.46783098,1.730067974,0.760249162,0.805110873,0.655487942,-0.403602599,-0.441390345,0.522754443
PAGS US Equity,12.71154966,-0.30553776,0.737269308,0.475157378,0.09739259,0.337499034,0.189737595,0.084454746
TTWO US Equity,6.416587222,0.24684197,0.703601606,0.526222892,0.145287401,0.162910786,0.109413698,0.45895063
GSKY US Equity,8.178043616,0.235052015,0.582527072,0.724726669,0.006744669,0.461107685,0.425509456,0.689238908
TENB US Equity,15.77760471,0.509411358,0.567046829,0.863695686,0.619511312,-0.192130061,-0.218519446,0.144944521
PS US Equity,22.13658406,0.265342344,0.544741764,0.70131396,0.620282453,-0.396124059,-0.571224045,0.169442047
ZUO US Equity,13.11747675,0.82163933,0.523885521,0.524159451,0.435233377,-0.236580399,-0.280808213,0.287078832
PVTL US Equity,8.805808384,0.813752786,0.443557189,0.55167283,0.434180152,-0.286707261,-0.320972605,0.143319279
SHOP US EQUITY,13.78150188,1.192415175,0.418614459,0.564648835,0.264410894,-0.048478572,-0.061180473,0.165981117
MDB US Equity,16.75127054,1.945274318,0.412487451,0.720585093,0.571938348,-0.560197877,-0.577400242,0.32200207
CBLK US Equity,8.916156011,0.393800704,0.398829731,0.780031355,0.661609491,-0.296943474,-0.344581332,0.222653598
MITK US Equity,5.505567784,0.597245036,0.396763252,0.870999175,0.261321402,0.116396359,0.05367517,0.163930285
AYX US Equity,14.55480168,0.892528267,0.381423996,0.864769664,0.409090909,-0.08343188,-0.121129527,0.737349101
TWOU US Equity,9.124224914,0.683825244,0.366935053,0.830042213,0.435389555,-0.077149426,-0.136880155,0.644387966
ZS US Equity,19.97906496,1.3675568,0.360806419,0.80084028,0.612118376,-0.154505874,-0.154505874,0.712920799
SSTI US Equity,13.29596562,0.882956084,0.358231446,0.545703612,0.211616836,0.031302442,-0.157129011,0.670125689
TWLO US EQUITY,12.34100291,0.776364325,0.355452575,0.531515393,0.204342654,-0.13976901,-0.182874852,0.234012926
UPLD US Equity,6.502958512,0.624780986,0.345316101,0.669822183,0.126004281,0.210594337,-0.016795941,0.183783339
DBX US Equity,8.631782255,0.310132576,0.337772859,0.666696784,0.283700759,0.061528731,-0.04517528,0.388507409
INOV US Equity,5.052132757,0.113284283,0.335533489,0.688948322,0.071640894,0.21141868,0.015162872,0.438933086
EVBG US Equity,11.84840509,0.598365562,0.32774286,0.692236298,0.382632624,-0.200809262,-0.319052985,0.836568209
AVLR US Equity,11.85648084,0.273153513,0.326756083,0.728010546,0.627672301,-0.203148823,-0.259119014,0.066030522
TEAM US Equity,16.24458722,1.072874777,0.324274031,0.812349078,0.198422248,0.045932972,-0.318113105,1.488603835
MB US Equity,6.871662755,0.523072054,0.318873708,0.707418085,0.339214788,-0.054009471,-0.107506789,1.095778293
ZEN US Equity,11.05783691,0.627841756,0.315197338,0.700981532,0.434629887,-0.169418548,-0.227226636,0.215344025
WIX US Equity,8.090397735,0.770002378,0.314129192,0.814915019,0.398133921,-0.054056317,-0.080099085,0.165984073
OKTA US EQUITY,17.24465707,2.773790262,0.308144789,0.70405158,0.533546168,-0.35956446,-0.381329138,0.39466679
NOW US Equity,13.27660805,0.628764348,0.305945997,0.753499847,0.417966035,0.026210495,-0.039516806,0.32077412
UBI FP Equity,5.492856902,0.454429349,0.30537113,0.828615372,0.19589767,0.46475073,0.101452416,0.36840937
PFPT US Equity,8.431342114,0.635293052,0.290121587,0.716083165,0.421527052,-0.037534647,-0.127902777,0.465880406
SPLK US Equity,8.822882751,1.166729749,0.288999377,0.792802401,0.55817645,-0.177659879,-0.220927386,0.376952437
WDAY US Equity,10.48370926,1.099293674,0.284822043,0.706490989,0.281425745,-0.044409677,-0.137903073,0.467152644
TRHC US Equity,8.828778801,0.804586337,0.284047059,0.310098209,0.032649358,0.100940834,0.052382229,0.061445833
NEWR US Equity,11.57891232,1.113414116,0.278703798,0.830894533,0.540269481,-0.005895386,-0.087178644,0.345734783
EBIX US Equity,5.291464596,0.442660597,0.27187065,0.636273421,0.037884263,0.337254291,0.246655528,0.148476659
DOCU US EQUITY,9.978441679,1.404633485,0.265948881,0.738764605,0.461436292,-0.544993899,-0.544993899,0.426466218
HUBS US Equity,10.73443143,0.62897696,0.264314147,0.802233365,0.48223716,-0.055513968,-0.126516145,0.198641139
YEXT US Equity,9.051454345,1.212819313,0.255078245,0.744377783,0.639559189,-0.342540407,-0.369149252,0.173096004
ADSK US Equity,12.71222716,-0.105187493,0.252822779,0.871825771,0.485250145,-0.058508502,-0.134496897,0.481099656
INST US Equity,5.470949539,0.667000361,0.251313319,0.70595174,0.452917976,-0.217694509,-0.265525842,0.193105277
PAYC US Equity,14.87319187,0.51311444,0.248443863,0.836270259,0.30221594,0.2974391,0.209953657,0.092518895
RNG US Equity,9.78354475,0.531306949,0.246186416,0.762424464,0.447258175,0.003408031,-0.038053292,0.311608086
APPF US Equity,12.17994135,0.566306139,0.244709155,0.619476356,0.173594147,0.188348047,0.109271617,0.097405974
CARB US EQUITY,4.656080411,0.280709806,0.241613194,0.71521263,0.342986695,0.133656998,-0.007129497,0.483728106
MIME US Equity,6.753449137,0.989149823,0.237610006,0.732678096,0.429732441,0.062447057,-0.039696455,0.277657075
QTWO US Equity,9.569033601,0.432534082,0.234901325,0.495053459,0.19130952,-0.035297234,-0.113132374,0.26933425
CRM US Equity,8.79129898,0.772530543,0.218889926,0.740367189,0.408643996,0.110687872,0.040826303,0.215183074
SEND US Equity,10.49736688,0.60503697,0.217298443,0.742339564,0.219699273,0.035092642,-0.036651623,1.367973871
BL US Equity,10.6739201,0.647474477,0.216651384,0.776422042,0.541184764,-0.066416225,-0.167225391,0.153341024
HDP US Equity,4.446307662,0.677378958,0.215360798,0.7125183,0.646997036,-0.527208147,-0.57156339,0.202769132
RP US Equity,6.799578066,0.362881252,0.214567908,0.607191611,0.213200205,0.196258254,0.05085376,0.089556769
COUP US Equity,14.86141948,1.618310667,0.213140419,0.688600843,0.404947625,-0.159579178,-0.225167165,1.884584313
CYRN US Equity,4.745968222,0.029887358,0.210003447,0.59622677,0.487354665,-0.38989,-0.654222148,0.751543452
GSUM US Equity,2.51602295,-0.80681445,0.207551241,0.850345338,0.283328004,-0.130646718,-0.279342036,6.782528981
BOX US Equity,4.659730525,0.832509646,0.205468463,0.727027563,0.546808411,-0.18767712,-0.270973197,0.375109066
ULTI US Equity,8.431440489,0.325320527,0.202372663,0.626164585,0.260541923,0.11049378,0.045352465,0.150353321
PCTY US Equity,8.482147237,0.636434172,0.198891735,0.604804422,0.252919659,0.123201784,0.010140546,0.363399174
ATTU US Equity,4.182978256,0.335945242,0.192840758,0.852529496,0.493028942,0.049642175,-0.021799151,0.399541215
EXLS US Equity,2.407895653,0.176850032,0.19094642,0.341006187,0.066124947,0.12581462,0.082331015,0.107512031
VEEV US EQUITY,14.99891246,0.872396578,0.190345121,0.697852072,0.17083516,0.245623995,0.212543603,0.417871275
QLYS US Equity,9.9139303,0.29056966,0.189515182,0.767918385,0.249984341,0.262801641,0.166605485,0.338992938
CYBR US Equity,7.200652568,0.360407732,0.185186065,0.845334966,0.430087348,0.115185183,0.091813351,0.547237361
CLDR US Equity,3.994548051,1.475573328,0.184810638,0.680254181,0.726084016,-0.429358932,-0.448954299,0.105207462
NTNX US Equity,5.397203531,1.295260325,0.182360746,0.665907083,0.562251127,-0.192136843,-0.251673775,0.264808643
MDSO US EQUITY,6.697516097,0.315820027,0.180640156,0.756062566,0.207097942,0.13472281,0.080269276,0.389232213
FIVN US Equity,9.162351392,0.391257943,0.180032726,0.59036668,0.295198861,0.047195456,-0.010447477,0.305739461
EGHT US Equity,4.760393012,0.48386804,0.179398443,0.755378641,0.59249196,-0.043202941,0.136357472,0.102061315
GLUU US Equity,2.258037634,0.660157243,0.178452594,0.540853339,0.313385146,-0.128055592,-0.078209558,0.191485784
RPD US Equity,6.524921793,0.405057261,0.17806318,0.703654474,0.504470905,-0.213805072,-0.243521934,0.233092836
VRNS US Equity,6.750555812,0.474728803,0.17627243,0.900197083,0.560331178,-0.084031535,-0.105234365,0.233742083
FSCT US Equity,3.684080543,0.544002973,0.174726226,0.75474664,0.586534318,-0.322065349,-0.357573475,0.244597307
APTI US Equity,4.782292284,0.32328158,0.172182532,0.692937619,0.4139205,-0.067484991,-0.10987947,0.259175068
FTNT US Equity,7.57903095,0.278916424,0.170748873,0.749036421,0.429764864,0.13105687,0.083799201,0.497187014
ELLI US Equity,5.485530549,0.284680184,0.155339407,0.591959407,0.140524704,0.185519746,0.041779082,0.297499627
RHT US Equity,6.073912869,0.538125356,0.140213148,0.852368067,0.379706309,0.190929634,0.132111634,0.546201324
AGYS US Equity,2.573051403,0.059285845,0.13566846,0.514784087,0.141762482,0.05235212,-0.042261141,0.313273517
WK US Equity,6.029720314,0.262888618,0.134346882,0.713895663,0.373037543,-0.216065979,-0.238819201,0.267421657
GWRE US Equity,9.666730301,0.557481988,0.134075669,0.551169549,0.187752527,0.042780838,0.053461994,0.661264289
MOBL US Equity,1.892218626,0.106407769,0.126432852,0.830119818,0.531937652,-0.259366264,-0.285425679,0.473250666
PRO US Equity,6.584861424,0.197950103,0.12118159,0.596355456,0.37096783,-0.240979866,-0.344764102,0.874129302
ALLT US Equity,1.318690168,-0.017472806,0.116871269,0.681281674,0.431535083,-0.097116792,-0.139148553,0.172789729
EA US Equity,5.344690058,0.100545951,0.115125052,0.724059529,0.132492766,0.237908227,0.182116577,0.88011575
ALTR US Equity,6.47357623,0.155989018,0.11455612,0.692304933,0.220816234,-0.009593982,-0.233470127,0.108292691
ZNGA US Equity,3.236938149,0.191162904,0.110919751,0.690714628,0.240083247,0.093039477,0.056450317,0.422203652
OSPN US Equity,2.987260365,0.04323363,0.110902312,0.71395388,0.29406135,0.092239978,0.03619093,0.392093431
INTU US Equity,8.767223256,0.270558159,0.108406774,0.837022133,0.273977197,0.305667337,0.212769329,0.245472837
MGIC US Equity,1.379867279,0.347395931,0.107851761,0.322370143,0.100273466,0.154341049,0.066964828,0.280003092
LPSN US Equity,5.194544537,0.049398731,0.107235739,0.746432593,0.388841837,0.041850597,-0.03848877,0.240029258
ATHN US Equity,3.78455515,0.188013667,0.099755927,0.541702286,0.196035756,0.253245239,0.102986389,0.128332686
CDR PW Equity,32.78567161,-0.817992654,0.098484125,0.766670917,0.276487918,0.434247891,0.355169721,6.092855523
AZPN US Equity,13.80264657,0.057521637,0.098193444,0.898613469,0.202350685,0.437615362,0.300837507,0.192517127
SCWX US Equity,2.267289869,0.453275487,0.095959013,0.515184856,0.306719036,-0.066681664,-0.104943521,0.205786563
ALRM US Equity,5.549719015,0.440024358,0.092588012,0.668661354,0.115665201,0.209577685,0.144136532,0.25619483
PEGA US Equity,4.566647755,0.134685565,0.08984208,0.655663698,0.360864826,0.019566178,0.019614338,0.190621344
