Company,EV/NTM,TTMRevGr,NTMRevGr,GP%,SM%,EBITDA%,Cash%
FDEV LN Equity,4.757649869,1.14891776,1.279816804,0.704843232,0.177702387,0.282346748,0.525419638
TNAV US Equity,0.576481224,-0.420876376,1.09392541,0.413919751,0.195404031,-0.77476926,0.161207384
SSNC US Equity,4.196521301,0.467727934,1.003082767,0.412073985,0.054475716,0.344201587,0.029460366
SMAR US Equity,12.76400607,1.730067974,0.760249162,0.805110873,0.655487942,-0.403602599,0.522754443
TTWO US Equity,3.766483431,0.24684197,0.703601606,0.526222892,0.145287401,0.162910786,0.45895063
TENB US Equity,10.06836836,0.509411358,0.567046829,0.863695686,0.619511312,-0.192130061,0.144944521
ZUO US Equity,8.60791481,0.82163933,0.523885521,0.524159451,0.435233377,-0.236580399,0.287078832
AVV LN Equity,5.306967442,2.286314291,0.455897354,0.697824874,0.256386521,0.246630922,0.159551409
PVTL US Equity,6.100075877,0.813752786,0.443557189,0.55167283,0.434180152,-0.286707261,0.143319279
SHOP US EQUITY,9.714762022,1.192415175,0.418614459,0.564648835,0.264410894,-0.048478572,0.165981117
MDB US Equity,11.85941194,1.945274318,0.412487451,0.720585093,0.571938348,-0.560197877,0.32200207
CBLK US Equity,6.374010943,0.393800704,0.398829731,0.780031355,0.661609491,-0.296943474,0.222653598
MITK US Equity,3.941661392,0.597245036,0.396763252,0.870999175,0.261321402,0.116396359,0.163930285
AYX US Equity,10.53608575,0.892528267,0.381423996,0.864769664,0.409090909,-0.08343188,0.737349101
SSTI US Equity,9.789175219,0.882956084,0.358231446,0.545703612,0.211616836,0.031302442,0.670125689
TWLO US EQUITY,9.104710218,0.776364325,0.355452575,0.531515393,0.204342654,-0.13976901,0.234012926
UPLD US Equity,4.833777359,0.624780986,0.345316101,0.669822183,0.126004281,0.210594337,0.183783339
DBX US Equity,6.452352654,0.310132576,0.337772859,0.666696784,0.283700759,0.061528731,0.388507409
INOV US Equity,3.782857413,0.113284283,0.335533489,0.688948322,0.071640894,0.21141868,0.438933086
EVBG US Equity,8.923719678,0.598365562,0.32774286,0.692236298,0.382632624,-0.200809262,0.836568209
AVLR US Equity,8.936443549,0.273153513,0.326756083,0.728010546,0.627672301,-0.203148823,0.066030522
TEAM US Equity,12.26678681,1.072874777,0.324274031,0.812349078,0.198422248,0.045932972,1.488603835
MB US Equity,5.210250773,0.523072054,0.318873708,0.707418085,0.339214788,-0.054009471,1.095778293
TLND US Equity,7.357837407,0.665204182,0.315550897,0.76684703,0.492347792,-0.174088449,0.493095731
ZEN US Equity,8.40773973,0.627841756,0.315197338,0.700981532,0.434629887,-0.169418548,0.215344025
WIX US Equity,6.156470599,0.770002378,0.314129192,0.814915019,0.398133921,-0.054056317,0.165984073
OKTA US EQUITY,13.18252934,2.773790262,0.308144789,0.70405158,0.533546168,-0.35956446,0.39466679
UBI FP Equity,4.207889062,0.454429349,0.30537113,0.828615372,0.19589767,0.46475073,0.36840937
PFPT US Equity,6.535308144,0.635293052,0.290121587,0.716083165,0.421527052,-0.037534647,0.465880406
SPLK US Equity,6.844753308,1.166729749,0.288999377,0.792802401,0.55817645,-0.177659879,0.376952437
TRHC US Equity,6.875743951,0.804586337,0.284047059,0.310098209,0.032649358,0.100940834,0.061445833
NEWR US Equity,9.055195061,1.113414116,0.278703798,0.830894533,0.540269481,-0.005895386,0.345734783
EBIX US Equity,4.160379513,0.442660597,0.27187065,0.636273421,0.037884263,0.337254291,0.148476659
HUBS US Equity,8.4903198,0.62897696,0.264314147,0.802233365,0.48223716,-0.055513968,0.198641139
YEXT US Equity,7.211864584,1.212819313,0.255078245,0.744377783,0.639559189,-0.342540407,0.173096004
INST US Equity,4.372165991,0.667000361,0.251313319,0.70595174,0.452917976,-0.217694509,0.193105277
PAYC US Equity,11.91338459,0.51311444,0.248443863,0.836270259,0.30221594,0.2974391,0.092518895
RNG US Equity,7.850787511,0.531306949,0.246186416,0.762424464,0.447258175,0.003408031,0.311608086
APPF US Equity,9.785371387,0.566306139,0.244709155,0.619476356,0.173594147,0.188348047,0.097405974
CARB US EQUITY,3.750024914,0.280709806,0.241613194,0.71521263,0.342986695,0.133656998,0.483728106
MIME US Equity,5.456847556,0.989149823,0.237610006,0.732678096,0.429732441,0.062447057,0.277657075
QTWO US Equity,7.748824468,0.432534082,0.234901325,0.495053459,0.19130952,-0.035297234,0.26933425
SEND US Equity,8.623494871,0.60503697,0.217298443,0.742339564,0.219699273,0.035092642,1.367973871
BL US Equity,8.773195212,0.647474477,0.216651384,0.776422042,0.541184764,-0.066416225,0.153341024
HDP US Equity,3.658426097,0.677378958,0.215360798,0.7125183,0.646997036,-0.527208147,0.202769132
RP US Equity,5.598351497,0.362881252,0.214567908,0.607191611,0.213200205,0.196258254,0.089556769
COUP US Equity,12.2503704,1.618310667,0.213140419,0.688600843,0.404947625,-0.159579178,1.884584313
CYRN US Equity,3.922276612,0.029887358,0.210003447,0.59622677,0.487354665,-0.38989,0.751543452
BOX US Equity,3.865493515,0.832509646,0.205468463,0.727027563,0.546808411,-0.18767712,0.375109066
ULTI US Equity,7.012335483,0.325320527,0.202372663,0.626164585,0.260541923,0.11049378,0.150353321
PCTY US Equity,7.074990168,0.636434172,0.198891735,0.604804422,0.252919659,0.123201784,0.363399174
ATTU US Equity,3.506736527,0.335945242,0.192840758,0.852529496,0.493028942,0.049642175,0.399541215
VEEV US EQUITY,12.60047376,0.872396578,0.190345121,0.697852072,0.17083516,0.245623995,0.417871275
QLYS US Equity,8.334429397,0.29056966,0.189515182,0.767918385,0.249984341,0.262801641,0.338992938
CYBR US Equity,6.075546094,0.360407732,0.185186065,0.845334966,0.430087348,0.115185183,0.547237361
CLDR US Equity,3.371465383,1.475573328,0.184810638,0.680254181,0.726084016,-0.429358932,0.105207462
NTNX US Equity,4.564768875,1.295260325,0.182360746,0.665907083,0.562251127,-0.192136843,0.264808643
KXS CN Equity,9.210098493,0.239765073,0.180908787,0.707510169,0.203684123,0.245784406,1.1018838
MDSO US EQUITY,5.672783584,0.315820027,0.180640156,0.756062566,0.207097942,0.13472281,0.389232213
FIVN US Equity,7.76448923,0.391257943,0.180032726,0.59036668,0.295198861,0.047195456,0.305739461
EGHT US Equity,4.036289044,0.48386804,0.179398443,0.755378641,0.59249196,-0.043202941,0.102061315
RPD US Equity,5.538685787,0.405057261,0.17806318,0.703654474,0.504470905,-0.213805072,0.233092836
CRW LN Equity,11.1035519,0.345484091,0.177926551,0.949200055,0.12311569,0.311017341,0.787764474
VRNS US Equity,5.738939074,0.474728803,0.17627243,0.900197083,0.560331178,-0.084031535,0.233742083
FSCT US Equity,3.136118409,0.544002973,0.174726226,0.75474664,0.586534318,-0.322065349,0.244597307
APTI US Equity,4.079818761,0.32328158,0.172182532,0.692937619,0.4139205,-0.067484991,0.259175068
FTNT US Equity,6.473660685,0.278916424,0.170748873,0.749036421,0.429764864,0.13105687,0.497187014
CSU CN Equity,4.3292629,0.315012663,0.164257841,0.880066133,0.064733952,0.253075757,0.174972759
ELLI US Equity,4.747981861,0.284680184,0.155339407,0.591959407,0.140524704,0.185519746,0.297499627
RHT US Equity,5.326997746,0.538125356,0.140213148,0.852368067,0.379706309,0.190929634,0.546201324
AGYS US Equity,2.265671271,0.059285845,0.13566846,0.514784087,0.141762482,0.05235212,0.313273517
WK US Equity,5.315587684,0.262888618,0.134346882,0.713895663,0.373037543,-0.216065979,0.267421657
GWRE US Equity,8.523884754,0.557481988,0.134075669,0.551169549,0.187752527,0.042780838,0.661264289
MOBL US Equity,1.679832599,0.106407769,0.126432852,0.830119818,0.531937652,-0.259366264,0.473250666
PRO US Equity,5.873144442,0.197950103,0.12118159,0.596355456,0.37096783,-0.240979866,0.874129302
